author_id,target_type,target_id,target,context,rating,content,status,is_historical,instructor,term,course_code,source_row,source_column,source_workbook
legacy:6dad79e955cf165aa5dd913877c13ec8ce8ba467,course,cuhksz_course_bio1001,普通生物学,未注明教师 · 历史评价（学期未注明）,,杨博士听说我们是为了逃pre来上暑课觉得很惊讶，他以为pre就是送分的\狗头,published,True,未注明教师,历史评价（学期未注明）,BIO1001,11,J,课程评价.xlsx
legacy:61b4a71e47a1a3084eb9cc5c713691395192c842,course,cuhksz_course_bio1001,普通生物学,未注明教师 · 历史评价（学期未注明）,,非常喜欢yangzhou老师的风格，语速听得特别爽，一节课可以学到很多东西，老师也会拓展一些课外内容,published,True,未注明教师,历史评价（学期未注明）,BIO1001,11,O,课程评价.xlsx
legacy:71952b8a8fcd4ea580f9e3680faa3a7da91e984e,course,cuhksz_course_bio1001,普通生物学,未注明教师 · 历史评价（学期未注明）,,快选他的课 不然我会难过 他也太好了呜呜 讲的巨好巨清楚,published,True,未注明教师,历史评价（学期未注明）,BIO1001,11,W,课程评价.xlsx
legacy:b89ee80b75545f0d6f3b124552ac2dbd1a8f67e1,course,cuhksz_course_bio1008,化学与生命科学,未注明教师 · 历史评价（学期未注明）,,快选 太有意思了！！！非常喜欢她的课,published,True,未注明教师,历史评价（学期未注明）,BIO1008,12,W,课程评价.xlsx
legacy:2af68fdfbd2c98b99beda9708f66be23007a9237,course,cuhksz_course_cec1000,CEC1000（课程名称待补充）,Wang Xueshi · 历史评价（学期未注明）,,超好 人真的蛮好的,published,True,Wang Xueshi,历史评价（学期未注明）,CEC1000,14,D,课程评价.xlsx
legacy:84f13bfc826c740158e91f310e168e160bf6632b,course,cuhksz_course_cec1000,CEC1000（课程名称待补充）,Wang Xueshi · 历史评价（学期未注明）,,人挺好,published,True,Wang Xueshi,历史评价（学期未注明）,CEC1000,14,E,课程评价.xlsx
legacy:133a65d9e4b9671666f0817811e9fd15be60f7cb,course,cuhksz_course_cec1000,CEC1000（课程名称待补充）,Wang Xueshi · 历史评价（学期未注明）,,老师人很好，课偏水，稳定地下课前签到,published,True,Wang Xueshi,历史评价（学期未注明）,CEC1000,14,F,课程评价.xlsx
legacy:a7c2e0f55726e3074626106051f90ad9a0bc8b21,course,cuhksz_course_cec2000,CEC2000（课程名称待补充）,zhangjunfu · 历史评价（学期未注明）,,吹爆他！无敌好！,published,True,zhangjunfu,历史评价（学期未注明）,CEC2000,15,D,课程评价.xlsx
legacy:8d7cd80f13148dd76ec9d194d6a0d8f1504a2da8,course,cuhksz_course_cec2000,CEC2000（课程名称待补充）,zhangjunfu · 历史评价（学期未注明）,,超级好,published,True,zhangjunfu,历史评价（学期未注明）,CEC2000,15,E,课程评价.xlsx
legacy:df9a129688a3b0843d60cf1a112511769841a25c,course,cuhksz_course_cec2000,CEC2000（课程名称待补充）,zhangjunfu · 历史评价（学期未注明）,,张俊夫你是我的神,published,True,zhangjunfu,历史评价（学期未注明）,CEC2000,15,F,课程评价.xlsx
legacy:27dff23c797613b1cc8884d2a9aa7c6f9364669a,course,cuhksz_course_cec3000,CEC3000（课程名称待补充）,yang jie · 历史评价（学期未注明）,,每节课查签到概率50%,published,True,yang jie,历史评价（学期未注明）,CEC3000,16,D,课程评价.xlsx
legacy:87f998052aeb476293da0cdeef4053ba21767626,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,Lin Chengchuan · 历史评价（学期未注明）,,老师带的班有三四个，表现好的班a的名额会多一些，a率在30%左右,published,True,Lin Chengchuan,历史评价（学期未注明）,CHI1000,17,C,课程评价.xlsx
legacy:9801faeb8e82237df090b6c06d7fb9559bfafed8,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,Lin Chengchuan · 历史评价（学期未注明）,,有真才实学，虽然对待学术偏严肃，可能不留情面，但是私下里和同学们关系很好，也很有生活情调,published,True,Lin Chengchuan,历史评价（学期未注明）,CHI1000,17,D,课程评价.xlsx
legacy:2ba12d8aa62c8fc9e91fb4dcec7998d549f70cc3,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,Lin Chengchuan · 历史评价（学期未注明）,,学识很渊博，上课可以听到不少和专业无关的有用的知识，wl不是很大，主要是pre和论文集中精力对付，平常课程很轻松愉快,published,True,Lin Chengchuan,历史评价（学期未注明）,CHI1000,17,E,课程评价.xlsx
legacy:7ade1b3037de268735d313e68af41481e5bbbbba,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,Lin Chengchuan · 历史评价（学期未注明）,,听他的课简直就是享受！！！学识渊博，幽默风趣！tt努力表达自己的想法他就会好开心好开心，他真的好尊重并且认可同学们的想法，真的好喜欢好喜欢他！！！！！,published,True,Lin Chengchuan,历史评价（学期未注明）,CHI1000,17,F,课程评价.xlsx
legacy:e36ca8fa0ae5256767bf50bc72372ff2ae56fba3,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,Lin Chengchuan · 历史评价（学期未注明）,,非常可爱的老师，课堂氛围轻松愉悦,published,True,Lin Chengchuan,历史评价（学期未注明）,CHI1000,17,H,课程评价.xlsx
legacy:8240b1a3d45d2ab62faf3bb49b6cb3909e3bced4,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,未注明教师 · 历史评价（学期未注明）,,很不错的老师，文学氛围很浓，wl不是很大，老师本人人也很好的,published,True,未注明教师,历史评价（学期未注明）,CHI1000,18,D,课程评价.xlsx
legacy:c6103162c0e5271dcd2b8394d12e958141107aa1,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,未注明教师 · 历史评价（学期未注明）,,我夸爆,published,True,未注明教师,历史评价（学期未注明）,CHI1000,18,E,课程评价.xlsx
legacy:2391b55d76ee07c76b9af414a85c87f210fb05a1,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,未注明教师 · 历史评价（学期未注明）,,超级超级超级好的老师,published,True,未注明教师,历史评价（学期未注明）,CHI1000,18,F,课程评价.xlsx
legacy:5ef866c728336c156f02ad7b39135a82574e4173,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,未注明教师 · 历史评价（学期未注明）,,超级好的老师！！很有文学素养！wl不大，很耐心,published,True,未注明教师,历史评价（学期未注明）,CHI1000,18,G,课程评价.xlsx
legacy:560039b50690e9ea7b3d1785a01fa629a22f1aa2,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,Qiying Zhang · 历史评价（学期未注明）,,文学氛围如何,published,True,Qiying Zhang,历史评价（学期未注明）,CHI1000,19,C,课程评价.xlsx
legacy:b93229e59f4c3b15760b1cb2cd50a34e7e560b10,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,Qiying Zhang · 历史评价（学期未注明）,,很棒，拿了A，可以冲,published,True,Qiying Zhang,历史评价（学期未注明）,CHI1000,19,D,课程评价.xlsx
legacy:c18bda69c3301d99621c6a8c977343caaa271c6c,course,cuhksz_course_chi1000,CHI1000（课程名称待补充）,Qiying Zhang · 历史评价（学期未注明）,,我超喜欢 很亲和 绝对是腹有诗书气自华很吸引人,published,True,Qiying Zhang,历史评价（学期未注明）,CHI1000,19,E,课程评价.xlsx
legacy:43e5c8a676bcb229aee913895c70503460d4b750,course,cuhksz_course_chi2012,CHI2012（课程名称待补充）,未注明教师 · 历史评价（学期未注明）,,很养生，期末交四张作业就行,published,True,未注明教师,历史评价（学期未注明）,CHI2012,22,D,课程评价.xlsx
legacy:7cdba4c01f00eb5a75813d113b33d105836f05e5,course,cuhksz_course_chi2012,CHI2012（课程名称待补充）,未注明教师 · 历史评价（学期未注明）,,暑课把我卷四,published,True,未注明教师,历史评价（学期未注明）,CHI2012,22,O,课程评价.xlsx
legacy:90740011ea12e465d0d575139297dc86e9ded41c,course,cuhksz_course_chi2012,CHI2012（课程名称待补充）,未注明教师 · 历史评价（学期未注明）,,给分不太好真的。。,published,True,未注明教师,历史评价（学期未注明）,CHI2012,22,P,课程评价.xlsx
legacy:cc7bacb5933ad8b8d2b03bb7352cae041197edbe,course,cuhksz_course_chi3001,CHI3001（课程名称待补充）,Lu Shitu · 历史评价（学期未注明）,,暑假上的，感觉很好，给分也不错，但是暑期比较卷,published,True,Lu Shitu,历史评价（学期未注明）,CHI3001,23,D,课程评价.xlsx
legacy:9d0883e06eaa005059f64bea5de40c421c40560e,course,cuhksz_course_chi4001,CHI4001（课程名称待补充）,"Jin, Jia · 历史评价（学期未注明）",,美女老师！！给分很好。。我水了一学期成绩能看。。很温柔 冲吧不亏,published,True,"Jin, Jia",历史评价（学期未注明）,CHI4001,24,D,课程评价.xlsx
legacy:886263b13744ca972ecf8da713def37689787cdb,course,cuhksz_course_chi4001,CHI4001（课程名称待补充）,"Jin, Jia · 历史评价（学期未注明）",,超级温柔的美女老师！给分也很nice！,published,True,"Jin, Jia",历史评价（学期未注明）,CHI4001,24,E,课程评价.xlsx
legacy:339645abca73b5e758f7b0b8463590589bca70d8,course,cuhksz_course_chi4001,CHI4001（课程名称待补充）,"Jin, Jia · 历史评价（学期未注明）",,我爱金佳,published,True,"Jin, Jia",历史评价（学期未注明）,CHI4001,24,F,课程评价.xlsx
