courseCode,instructor,term,school
FIN4080,"Yang, Wenhao",历史评价（学期未注明）,经管学院
FIN4110,"Xiao, Song",历史评价（学期未注明）,经管学院
FIN4110,Zongbo Huang,历史评价（学期未注明）,经管学院
FIN4120,chensi,历史评价（学期未注明）,经管学院
FIN4210,"Chen, Siyi",历史评价（学期未注明）,经管学院
FIN4210,"Li, Xiyue",历史评价（学期未注明）,经管学院
FRN1001,TAN Xiaoying,历史评价（学期未注明）,人文社科学院
FRN1002,TAN Xiaoying,历史评价（学期未注明）,人文社科学院
GEA2000,Chang Liu,历史评价（学期未注明）,人文社科学院
GEA2000,"Chen, Bin",历史评价（学期未注明）,人文社科学院
GEA2000,Li xiaoyu,历史评价（学期未注明）,人文社科学院
GEA2000,Maodi,历史评价（学期未注明）,人文社科学院
GEA2000,Qin Chen,历史评价（学期未注明）,人文社科学院
GEA2000,Zhao Ruijuan,历史评价（学期未注明）,人文社科学院
GEB2001,未注明教师,历史评价（学期未注明）,人文社科学院
GEB2110,"JI, Zuowei",历史评价（学期未注明）,人文社科学院
GEB2112,Wang Qin,历史评价（学期未注明）,人文社科学院
GEB2203,Li，Mo,历史评价（学期未注明）,人文社科学院
GEB2205,"Zuo, Xuruan",历史评价（学期未注明）,人文社科学院
GEB2206,"Garelik, Steven Mark",历史评价（学期未注明）,人文社科学院
GEB2401,yun tianheng,历史评价（学期未注明）,通识教育
GEB2404,Lu Jinming,历史评价（学期未注明）,人文社科学院
GEB2406,未注明教师,历史评价（学期未注明）,通识教育
GEB2501,未注明教师,历史评价（学期未注明）,人文社科学院
GEB2601,"CHEN, Shanquan",历史评价（学期未注明）,人文社科学院
GEB3101,未注明教师,历史评价（学期未注明）,人文社科学院
GEC2002,蹲韩雨晨教授 不知道是哪门课,历史评价（学期未注明）,人文社科学院
GEC2102,Aurelien BOUCHER,历史评价（学期未注明）,通识教育
GEC2107,Chris,历史评价（学期未注明）,人文社科学院
GEC2108,Chang Liu,历史评价（学期未注明）,人文社科学院
GEC2110,Corinne Doria,历史评价（学期未注明）,通识教育
GEC2112,Yang Yanni,历史评价（学期未注明）,人文社科学院
GEC2113,"Doria, Corinne",历史评价（学期未注明）,人文社科学院
